Symbol,Description,Price,Price - Currency,Volume 1 day,Relative volume 1 day,Price,Price - Currency,Price to earnings ratio,Sector,Industry,Average volume 30 days,Market capitalization,Market capitalization - Currency,Free float %,Total common shares outstanding,Price to sales ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY",Average daily range %,"Earnings per share reported, Quarterly","Earnings per share reported, Quarterly - Currency","Earnings per share estimate, Quarterly","Earnings per share estimate, Quarterly - Currency",CUSIP
AMLX,"Amylyx Pharmaceuticals, Inc.",14.73,USD,1892398,1.8241605324657348,14.73,USD,,Health technology,Pharmaceuticals: major,1158365.9666666666,1628209128.1381578,USD,83.4938,110536940,,-1.5072,USD,51.42451978857805,5.861410144505855,-0.37,USD,-0.347453,USD,03237H101
AMPL,"Amplitude, Inc.",6.39,USD,4385878,2.0358085759406035,6.39,USD,,Technology services,Packaged software,1936254.9333333333,852173958.2893401,USD,81.6229,103777440,2.208308633704554,-0.6747,USD,10.398406374501997,6.5279454504807575,-0.02,USD,-0.006667,USD,03213A104
AMPX,"Amprius Technologies, Inc.",16.7,USD,12436434,1.4306514803717867,16.7,USD,,Producer manufacturing,Electrical products,8733597.8,2288217339.391682,USD,88.2673,137019000,24.44210135227057,-0.3046,USD,25.87004137259674,10.546877673224955,-0.04,USD,-0.022222,USD,03214Q108
AMRZ,Amrize Ltd,52.89,USD,2543908,0.7978567988451233,52.89,USD,25.303798679552198,Non-energy minerals,Construction materials,2658069.8666666667,29234205692.773895,USD,89.0953,552735960,2.483176964405646,2.0902,USD,-6.147007318934949,3.0548442859844362,-0.16,USD,0.981837,USD,
AMSC,American Superconductor Corporation,55.19,USD,858425,0.5421736475280438,55.19,USD,18.840035502150613,Producer manufacturing,Electrical products,1302268.6666666667,2627722102.7925587,USD,96.34320000000001,47612300,8.55984015976865,2.9294,USD,3754.473684210526,7.769083426086485,2.75,USD,0.185,USD,030111207
AMTM,"Amentum Holdings, Inc.",24.53,USD,2027575,1.2048346338727662,24.53,USD,60.92896174863388,Electronic technology,Aerospace & defense,1717479.2666666666,5983729477.197068,USD,80.69630000000001,243770575,0.4216012382158438,0.4026,USD,,4.401287053753264,0.54,USD,0.573756,USD,023939101
AMTX,"Aemetis, Inc",2.59,USD,2557920,1.2795731074544359,2.59,USD,,Process industries,Chemicals: specialty,1916188.3666666683,176497056.68269226,USD,92.47139999999999,68145600,0.9486070072912972,-1.1845,USD,36.255516090840594,11.941533370104812,-0.33,USD,-0.272321,USD,00770K202
AMZN,"Amazon.com, Inc.",272.68,USD,34550138,0.6439998068418379,272.68,USD,32.58721034453912,Retail trade,Internet retail,48205942.16666666,2933248729622.577,USD,91.0219,10757100000,3.969840948011246,8.3677,USD,36.47513577870922,2.5701869276388525,2.78,USD,1.817073,USD,023135106
ANET,"Arista Networks, Inc.",141.77,USD,20287388,1.7119632636435196,141.77,USD,48.54471990138338,Electronic technology,Computer peripherals,9075639,178517157807.73444,USD,82.7635,1259200000,18.595572559964573,2.9204,USD,23.546831373212623,5.1539717248259915,0.87,USD,0.883521,USD,040413205
ANGI,Angi Inc.,5.83,USD,3489715,2.1162816478168796,5.83,USD,14.22298121493047,Technology services,Internet software/Services,1134914,235811929.00763357,USD,70.5325,40448000,0.20571200619492938,0.4099,USD,-60.718735026353635,9.605488850771666,-0.22,USD,0.207664,USD,00183L201
ANGX,"Angel Studios, Inc.",3.35,USD,2109688,1.3095751612707192,3.35,USD,,Consumer services,Movies/Entertainment,1836082.1666666667,624481452.6086957,USD,61.92829999999999,129624360,1.679264672881787,-1.0622,USD,-19.496006299921252,7.4469083155649844,-0.082,USD,-0.151667,USD,034948109
ANNA,"AleAnna, Inc.",3.22,USD,751126,0.9642247886924007,3.22,USD,72.85067873303167,Energy minerals,Oil & gas production,2296209.933333333,214626793.70063695,USD,6.9289000000000005,40659880,5.09959128982437,0.0442,USD,,12.535936113575866,,,,,01444V103
ANNX,"Annexon, Inc.",5.69,USD,2009599,0.9759340070920367,5.69,USD,,Health technology,Pharmaceuticals: major,2310548.6333333333,924666411.2427539,USD,88.3462,162507000,,-1.2159,USD,-3.7368825185564427,5.1466231483806695,-0.23,USD,-0.255161,USD,03589W102
